Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,536.000000,538.770020,527.719971,535.979980,535.979980,2307400
2022-02-02,536.250000,540.460022,529.320007,533.090027,533.090027,2494100
2022-02-03,522.869995,525.179993,508.750000,510.829987,510.829987,3058700
2022-02-04,503.769989,519.969971,503.769989,513.539978,513.539978,2583700
2022-02-07,516.000000,516.000000,500.950012,507.100006,507.100006,3120500
2022-02-08,501.630005,513.510010,501.070007,511.309998,511.309998,3205500
2022-02-09,520.349976,522.479980,515.059998,521.750000,521.750000,2542200
2022-02-10,508.079987,514.479980,492.279999,495.019989,495.019989,4735800
2022-02-11,497.920013,499.929993,472.899994,473.970001,473.970001,5027000
2022-02-14,473.200012,478.570007,469.209991,474.010010,474.010010,3372100
2022-02-15,482.529999,482.529999,472.390015,479.500000,479.500000,3743100
2022-02-16,476.489990,480.209991,467.269989,477.700012,477.700012,3750500
2022-02-17,473.140015,476.450012,456.049988,457.709991,457.709991,4021100
2022-02-18,458.690002,459.299988,441.769989,442.559998,442.559998,5194200
2022-02-22,440.350006,451.089996,435.049988,438.399994,438.399994,4287600
2022-02-23,447.779999,449.589996,428.059998,429.450012,429.450012,4263000
2022-02-24,418.589996,465.929993,416.809998,463.820007,463.820007,6448800
2022-02-25,465.390015,468.519989,456.019989,465.540009,465.540009,2869700
2022-02-28,462.399994,468.480011,458.859985,467.679993,467.679993,3302300
2022-03-01,468.000000,479.209991,462.920013,466.679993,466.679993,3352800
2022-03-02,471.940002,477.489990,466.040009,471.179993,471.179993,2948500
2022-03-03,475.829987,476.049988,455.450012,459.079987,459.079987,2906300
2022-03-04,455.489990,463.519989,447.000000,452.130005,452.130005,2751600
2022-03-07,456.220001,457.679993,437.179993,437.970001,437.970001,3676100
2022-03-08,432.510010,443.799988,421.359985,431.529999,431.529999,3734800
2022-03-09,443.799988,453.109985,438.929993,450.869995,450.869995,2905700
2022-03-10,444.679993,447.649994,433.010010,438.950012,438.950012,2722300
2022-03-11,439.660004,440.609985,415.429993,416.380005,416.380005,4434500
2022-03-14,413.359985,422.380005,407.940002,411.500000,411.500000,3731400
2022-03-15,415.970001,422.959991,413.170013,421.660004,421.660004,3201700
2022-03-16,431.739990,442.519989,424.350006,442.359985,442.359985,4141200
2022-03-17,441.260010,446.820007,436.510010,444.359985,444.359985,3556700
2022-03-18,439.200012,453.739990,435.790009,453.329987,453.329987,5898100
2022-03-21,451.420013,459.579987,445.950012,453.589996,453.589996,3704200
2022-03-22,453.500000,471.980011,450.690002,466.450012,466.450012,5377000
2022-03-23,437.510010,437.980011,416.470001,422.899994,422.899994,13979800
2022-03-24,426.079987,432.209991,421.489990,432.140015,432.140015,5544300
2022-03-25,435.440002,438.619995,426.000000,431.619995,431.619995,3283600
2022-03-28,433.420013,450.320007,433.149994,450.010010,450.010010,4472600
2022-03-29,459.160004,467.799988,452.440002,466.329987,466.329987,4323800
2022-03-30,461.519989,466.769989,456.839996,460.059998,460.059998,3889200
2022-03-31,461.589996,465.429993,455.429993,455.619995,455.619995,4141300
2022-04-01,455.000000,461.549988,450.959991,458.190002,458.190002,2716800
2022-04-04,461.040009,473.489990,460.609985,468.809998,468.809998,2974500
2022-04-05,469.320007,471.760010,455.070007,458.579987,458.579987,2481900
2022-04-06,448.239990,450.010010,439.570007,444.329987,444.329987,3824900
2022-04-07,444.089996,455.920013,440.760010,452.720001,452.720001,2757800
2022-04-08,449.950012,454.410004,443.369995,445.339996,445.339996,2260300
2022-04-11,438.809998,440.000000,429.739990,434.440002,434.440002,2932100
2022-04-12,442.690002,444.440002,425.160004,426.769989,426.769989,2199000
2022-04-13,427.299988,433.519989,425.670013,431.670013,431.670013,3078900
2022-04-14,435.859985,435.950012,420.029999,420.440002,420.440002,2587500
2022-04-18,419.399994,429.690002,418.730011,425.470001,425.470001,2594700
2022-04-19,422.019989,437.489990,420.640015,436.399994,436.399994,1962700
2022-04-20,440.589996,442.440002,427.200012,428.109985,428.109985,2094400
2022-04-21,432.690002,438.940002,416.359985,417.480011,417.480011,2390100
2022-04-22,420.709991,424.329987,408.019989,408.670013,408.670013,3198800
2022-04-25,405.700012,414.079987,401.670013,413.950012,413.950012,3368800
2022-04-26,410.170013,411.609985,397.470001,399.119995,399.119995,2820100
2022-04-27,401.440002,412.459991,396.809998,397.899994,397.899994,3080700
2022-04-28,406.130005,414.269989,398.489990,410.529999,410.529999,2593900
2022-04-29,407.470001,413.000000,394.640015,395.950012,395.950012,3031900
2022-05-02,397.130005,407.980011,394.040009,407.290009,407.290009,3010000
2022-05-03,406.589996,413.929993,403.500000,407.579987,407.579987,2196100
2022-05-04,407.290009,424.230011,395.049988,423.350006,423.350006,3330400
2022-05-05,415.549988,417.989990,395.709991,400.510010,400.510010,3507700
2022-05-06,395.000000,401.260010,382.820007,391.010010,391.010010,3522200
